flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,duration_hours
NZ2829,Air New Zealand,Auckland Airport,Auckland,New Zealand,3:10 PM,Haneda,Tokyo,5.47
AZ7649,Alitalia,Leonardo da Vinci International,Rome,Italy,11:09 PM,Charles de Gaulle,Paris,22.25
KL7951,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,9:44 AM,Charles de Gaulle,Paris,19.11
AF2120,Air France,Charles de Gaulle,Paris,France,2:38 AM,Frankfurt Airport,Frankfurt,14.7
NZ5671,Air New Zealand,Auckland Airport,Auckland,New Zealand,8:32 PM,Brisbane Airport,Brisbane,8.36
AF2033,Air France,Charles de Gaulle,Paris,France,9:07 AM,Amsterdam Airport Schiphol,Amsterdam,18.31
ET9224,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,4:21 PM,Heathrow,London,4.12
AF4682,Air France,Charles de Gaulle,Paris,France,5:13 PM,Frankfurt Airport,Frankfurt,14.77
IB2236,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,7:10 AM,Charles de Gaulle,Paris,4.96
LA9176,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,12:57 AM,Ministro Pistarini International,Buenos Aires,2.44
AM9697,Aeroméxico,Benito Juárez International,Mexico City,Mexico,1:35 PM,El Dorado International,Bogotá,3.26
DL1467,Delta Air Lines,John F. Kennedy International,New York,USA,12:32 PM,Arturo Merino Benítez International,Santiago,4.9
BA3718,British Airways,Heathrow,London,UK,12:48 AM,Charles de Gaulle,Paris,1.02
AA7962,American Airlines,John F. Kennedy International,New York,USA,6:00 AM,Logan International,Boston,9.2
SA6283,South African Airways,O.R. Tambo International,Johannesburg,South Africa,6:33 PM,Charles de Gaulle,Paris,4.25
LH8063,Lufthansa,Frankfurt Airport,Frankfurt,Germany,1:40 PM,Adolfo Suárez Madrid–Barajas,Madrid,4.89
SK2196,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,8:50 AM,El Dorado International,Bogotá,18.19
WN1641,Southwest Airlines,Los Angeles International,Los Angeles,USA,10:54 PM,San Francisco International,San Francisco,17.02
AZ5926,Alitalia,Leonardo da Vinci International,Rome,Italy,3:13 PM,Charles de Gaulle,Paris,5.87
AV4401,Avianca,El Dorado International,Bogotá,Colombia,6:10 AM,O'Hare International,Chicago,4.51
AF9045,Air France,Charles de Gaulle,Paris,France,8:21 PM,Frankfurt Airport,Frankfurt,14.08
SA8877,South African Airways,O.R. Tambo International,Johannesburg,South Africa,11:51 AM,Bole International,Addis Ababa,17.2
TG8399,Thai Airways,Suvarnabhumi,Bangkok,Thailand,6:04 PM,Los Angeles International,Los Angeles,18.08
AZ2658,Alitalia,Leonardo da Vinci International,Rome,Italy,9:28 PM,Charles de Gaulle,Paris,9.8
AC8831,Air Canada,Toronto Pearson,Toronto,Canada,4:04 AM,John F. Kennedy International,New York,23.0
AC7423,Air Canada,Toronto Pearson,Toronto,Canada,2:36 AM,John F. Kennedy International,New York,11.61
BA7616,British Airways,Heathrow,London,UK,12:08 PM,Amsterdam Airport Schiphol,Amsterdam,13.73
LH3991,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:16 AM,Charles de Gaulle,Paris,8.04
LA4286,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,5:45 AM,Ministro Pistarini International,Buenos Aires,13.6
AI3634,Air India,Indira Gandhi International,Delhi,India,10:05 PM,Chhatrapati Shivaji International,Mumbai,2.21
SQ9539,Singapore Airlines,Changi,Singapore,Singapore,6:39 PM,Beijing Capital International,Beijing,21.33
CX7264,Cathay Pacific,Hong Kong International,Hong Kong,China,8:45 PM,Amsterdam Airport Schiphol,Amsterdam,2.99
KE7714,Korean Air,Incheon International,Seoul,South Korea,7:38 AM,Haneda,Tokyo,9.61
SK4630,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,2:14 PM,Adolfo Suárez Madrid–Barajas,Madrid,8.9
AV3870,Avianca,El Dorado International,Bogotá,Colombia,2:57 PM,Denver International,Denver,4.3
LH9879,Lufthansa,Frankfurt Airport,Frankfurt,Germany,8:05 PM,Charles de Gaulle,Paris,7.74
LH3929,Lufthansa,Frankfurt Airport,Frankfurt,Germany,11:22 PM,Munich Airport,Munich,2.36
AC6547,Air Canada,Toronto Pearson,Toronto,Canada,3:15 AM,John F. Kennedy International,New York,23.13
IB7456,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,1:29 PM,Charles de Gaulle,Paris,20.82
CX7004,Cathay Pacific,Hong Kong International,Hong Kong,China,1:47 PM,Changi,Singapore,5.3
BA6452,British Airways,Heathrow,London,UK,3:34 PM,Charles de Gaulle,Paris,7.25
AM1862,Aeroméxico,Benito Juárez International,Mexico City,Mexico,12:08 AM,Arturo Merino Benítez International,Santiago,22.84
AV9889,Avianca,El Dorado International,Bogotá,Colombia,7:34 PM,O'Hare International,Chicago,16.41
SQ1339,Singapore Airlines,Changi,Singapore,Singapore,1:50 PM,Beijing Capital International,Beijing,19.12
KE7584,Korean Air,Incheon International,Seoul,South Korea,7:36 AM,Chhatrapati Shivaji International,Mumbai,12.35
DL5432,Delta Air Lines,John F. Kennedy International,New York,USA,2:03 PM,Hartsfield-Jackson Atlanta,Atlanta,12.87
QR6336,Qatar Airways,Hamad International,Doha,Qatar,3:33 AM,Bole International,Addis Ababa,15.21
QR1864,Qatar Airways,Hamad International,Doha,Qatar,8:54 PM,Bole International,Addis Ababa,23.56
KE2894,Korean Air,Incheon International,Seoul,South Korea,6:19 PM,Miami International,Miami,2.78
AV3592,Avianca,El Dorado International,Bogotá,Colombia,9:21 PM,O'Hare International,Chicago,18.89
AC7067,Air Canada,Toronto Pearson,Toronto,Canada,11:34 AM,John F. Kennedy International,New York,12.27
BA3644,British Airways,Heathrow,London,UK,12:44 AM,Beijing Capital International,Beijing,6.86
AF7900,Air France,Charles de Gaulle,Paris,France,8:07 PM,Frankfurt Airport,Frankfurt,5.77
WN9844,Southwest Airlines,Los Angeles International,Los Angeles,USA,11:15 AM,San Francisco International,San Francisco,19.07
IB7772,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,9:07 PM,Charles de Gaulle,Paris,8.25
LH3929,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:54 PM,Munich Airport,Munich,20.68
NZ5050,Air New Zealand,Auckland Airport,Auckland,New Zealand,11:23 PM,Haneda,Tokyo,7.97
NZ9286,Air New Zealand,Auckland Airport,Auckland,New Zealand,9:56 AM,Sydney Airport,Sydney,22.22
SK7829,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,6:11 PM,Charles de Gaulle,Paris,5.4
SA8898,South African Airways,O.R. Tambo International,Johannesburg,South Africa,5:18 AM,Charles de Gaulle,Paris,11.33
AI9055,Air India,Indira Gandhi International,Delhi,India,8:26 AM,Chhatrapati Shivaji International,Mumbai,23.79
AF3394,Air France,Charles de Gaulle,Paris,France,12:35 PM,Amsterdam Airport Schiphol,Amsterdam,22.35
KL5959,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:55 PM,Charles de Gaulle,Paris,22.86
QR6945,Qatar Airways,Hamad International,Doha,Qatar,11:17 AM,Adolfo Suárez Madrid–Barajas,Madrid,16.36
AV5015,Avianca,El Dorado International,Bogotá,Colombia,11:10 PM,John F. Kennedy International,New York,23.33
UA3003,United Airlines,Los Angeles International,Los Angeles,USA,11:28 PM,Dallas/Fort Worth International,Dallas,5.57
AZ5740,Alitalia,Leonardo da Vinci International,Rome,Italy,1:26 AM,O'Hare International,Chicago,15.75
SA3924,South African Airways,O.R. Tambo International,Johannesburg,South Africa,3:04 AM,Leonardo da Vinci International,Rome,12.58
QR9778,Qatar Airways,Hamad International,Doha,Qatar,7:50 AM,Bole International,Addis Ababa,22.39
AZ1726,Alitalia,Leonardo da Vinci International,Rome,Italy,12:10 PM,Frankfurt Airport,Frankfurt,20.22
EK5416,Emirates,Dubai International,Dubai,UAE,2:25 PM,Hamad International,Doha,14.28
KL7531,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,5:39 PM,Charles de Gaulle,Paris,6.76
DL2791,Delta Air Lines,John F. Kennedy International,New York,USA,3:00 PM,São Paulo/Guarulhos International,São Paulo,8.96
NZ2679,Air New Zealand,Auckland Airport,Auckland,New Zealand,10:38 PM,Sydney Airport,Sydney,1.25
CX7308,Cathay Pacific,Hong Kong International,Hong Kong,China,7:24 PM,Changi,Singapore,16.54
LA4286,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,10:29 PM,Ministro Pistarini International,Buenos Aires,13.07
AF4074,Air France,Charles de Gaulle,Paris,France,6:56 AM,Frankfurt Airport,Frankfurt,10.62
AM1013,Aeroméxico,Benito Juárez International,Mexico City,Mexico,11:35 AM,Denver International,Denver,8.5
AZ4962,Alitalia,Leonardo da Vinci International,Rome,Italy,10:48 PM,Charles de Gaulle,Paris,5.69
DL2579,Delta Air Lines,John F. Kennedy International,New York,USA,2:30 AM,San Francisco International,San Francisco,8.33
BA8910,British Airways,Heathrow,London,UK,12:37 PM,John F. Kennedy International,New York,9.7
SK9581,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,7:18 AM,Charles de Gaulle,Paris,17.67
SK6106,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,6:40 AM,Charles de Gaulle,Paris,20.97
QR7630,Qatar Airways,Hamad International,Doha,Qatar,7:50 AM,Bole International,Addis Ababa,12.6
AA4128,American Airlines,John F. Kennedy International,New York,USA,6:27 AM,Hartsfield-Jackson Atlanta,Atlanta,16.41
AI3081,Air India,Indira Gandhi International,Delhi,India,5:06 PM,Hong Kong International,Hong Kong,2.19
AZ2894,Alitalia,Leonardo da Vinci International,Rome,Italy,8:24 AM,Copenhagen Airport,Copenhagen,22.94
QR9225,Qatar Airways,Hamad International,Doha,Qatar,11:48 AM,Bole International,Addis Ababa,1.52
IB8526,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,9:50 PM,Charles de Gaulle,Paris,18.22
AA4866,American Airlines,John F. Kennedy International,New York,USA,7:50 PM,Miami International,Miami,7.69
NZ3507,Air New Zealand,Auckland Airport,Auckland,New Zealand,9:51 AM,Changi,Singapore,11.12
TG8460,Thai Airways,Suvarnabhumi,Bangkok,Thailand,3:40 PM,Kuala Lumpur International,Kuala Lumpur,18.72
SQ1726,Singapore Airlines,Changi,Singapore,Singapore,2:15 PM,El Dorado International,Bogotá,18.8
IB7069,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,8:31 PM,Charles de Gaulle,Paris,17.86
AF3446,Air France,Charles de Gaulle,Paris,France,7:43 PM,Adolfo Suárez Madrid–Barajas,Madrid,13.09
AZ1037,Alitalia,Leonardo da Vinci International,Rome,Italy,8:37 AM,Charles de Gaulle,Paris,1.58
AM3012,Aeroméxico,Benito Juárez International,Mexico City,Mexico,1:36 AM,O'Hare International,Chicago,19.07
AI1169,Air India,Indira Gandhi International,Delhi,India,7:22 AM,Changi,Singapore,13.24
QR5985,Qatar Airways,Hamad International,Doha,Qatar,2:19 AM,Bole International,Addis Ababa,15.49
AA6083,American Airlines,John F. Kennedy International,New York,USA,11:01 AM,Stockholm Arlanda,Stockholm,12.89
AF4630,Air France,Charles de Gaulle,Paris,France,8:26 AM,Frankfurt Airport,Frankfurt,13.57
QR4567,Qatar Airways,Hamad International,Doha,Qatar,7:55 PM,Bole International,Addis Ababa,13.39
ET6738,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,7:07 AM,Hamad International,Doha,19.84
CX5044,Cathay Pacific,Hong Kong International,Hong Kong,China,6:48 AM,Changi,Singapore,16.58
QF8191,Qantas,Sydney Airport,Sydney,Australia,3:23 PM,Melbourne Airport,Melbourne,18.18
BA6981,British Airways,Heathrow,London,UK,10:49 AM,Charles de Gaulle,Paris,23.69
QF4776,Qantas,Sydney Airport,Sydney,Australia,9:08 AM,Jomo Kenyatta International,Nairobi,17.68
QF4930,Qantas,Sydney Airport,Sydney,Australia,5:23 PM,Stockholm Arlanda,Stockholm,17.94
NH7272,All Nippon Airways,Haneda,Tokyo,Japan,10:59 AM,Changi,Singapore,14.37
NH4813,All Nippon Airways,Haneda,Tokyo,Japan,6:44 AM,Incheon International,Seoul,15.67
KL5908,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,6:59 AM,Charles de Gaulle,Paris,10.95
KE4345,Korean Air,Incheon International,Seoul,South Korea,11:52 AM,Haneda,Tokyo,19.01
KL9883,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,11:09 AM,Charles de Gaulle,Paris,7.58
SK9879,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,3:02 AM,Charles de Gaulle,Paris,6.54
EK2108,Emirates,Dubai International,Dubai,UAE,8:11 AM,Hamad International,Doha,15.53
AI7579,Air India,Indira Gandhi International,Delhi,India,8:40 AM,Chhatrapati Shivaji International,Mumbai,19.36
LA9044,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,8:47 AM,Benito Juárez International,Mexico City,22.26
AV6230,Avianca,El Dorado International,Bogotá,Colombia,5:31 PM,O'Hare International,Chicago,11.96
NZ9726,Air New Zealand,Auckland Airport,Auckland,New Zealand,12:40 PM,Melbourne Airport,Melbourne,11.98
KE4039,Korean Air,Incheon International,Seoul,South Korea,3:47 AM,Auckland Airport,Auckland,2.12
QF6150,Qantas,Sydney Airport,Sydney,Australia,2:20 AM,Melbourne Airport,Melbourne,12.5
AZ8773,Alitalia,Leonardo da Vinci International,Rome,Italy,8:12 PM,Charles de Gaulle,Paris,10.42
QR6265,Qatar Airways,Hamad International,Doha,Qatar,8:39 AM,Leonardo da Vinci International,Rome,14.03
KE1522,Korean Air,Incheon International,Seoul,South Korea,12:24 AM,Haneda,Tokyo,12.57
AI6387,Air India,Indira Gandhi International,Delhi,India,7:16 PM,Chhatrapati Shivaji International,Mumbai,17.59
IB1902,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,1:29 AM,Charles de Gaulle,Paris,13.44
AF1538,Air France,Charles de Gaulle,Paris,France,6:46 AM,Frankfurt Airport,Frankfurt,8.92
DL1375,Delta Air Lines,John F. Kennedy International,New York,USA,9:26 AM,Hartsfield-Jackson Atlanta,Atlanta,15.55
AV6190,Avianca,El Dorado International,Bogotá,Colombia,5:02 AM,Jorge Chávez International,Lima,1.98
WN3689,Southwest Airlines,Los Angeles International,Los Angeles,USA,11:29 PM,O'Hare International,Chicago,7.57
LA9660,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,5:47 AM,Ministro Pistarini International,Buenos Aires,3.92
SQ6690,Singapore Airlines,Changi,Singapore,Singapore,9:29 AM,Beijing Capital International,Beijing,10.42
ET8142,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,8:11 AM,Chhatrapati Shivaji International,Mumbai,16.85
WN8141,Southwest Airlines,Los Angeles International,Los Angeles,USA,1:04 PM,San Francisco International,San Francisco,23.89
IB7758,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,10:12 AM,Charles de Gaulle,Paris,13.36
AV7071,Avianca,El Dorado International,Bogotá,Colombia,10:49 PM,O'Hare International,Chicago,23.12
SQ1240,Singapore Airlines,Changi,Singapore,Singapore,12:32 AM,Adolfo Suárez Madrid–Barajas,Madrid,17.78
BA7617,British Airways,Heathrow,London,UK,3:19 AM,Charles de Gaulle,Paris,6.02
LA3981,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,5:59 PM,Ministro Pistarini International,Buenos Aires,9.84
EK7708,Emirates,Dubai International,Dubai,UAE,12:17 PM,Hamad International,Doha,17.66
IB1779,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,10:56 PM,Copenhagen Airport,Copenhagen,19.44
IB7456,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,8:49 AM,Charles de Gaulle,Paris,15.49
AM5855,Aeroméxico,Benito Juárez International,Mexico City,Mexico,4:45 AM,O'Hare International,Chicago,9.65
QF4447,Qantas,Sydney Airport,Sydney,Australia,5:05 AM,Melbourne Airport,Melbourne,3.15
SQ2917,Singapore Airlines,Changi,Singapore,Singapore,12:28 PM,Beijing Capital International,Beijing,20.18
SQ9239,Singapore Airlines,Changi,Singapore,Singapore,11:51 AM,Beijing Capital International,Beijing,11.5
AZ2628,Alitalia,Leonardo da Vinci International,Rome,Italy,2:26 PM,Charles de Gaulle,Paris,9.02
AV4396,Avianca,El Dorado International,Bogotá,Colombia,3:07 AM,O'Hare International,Chicago,2.48
QF5881,Qantas,Sydney Airport,Sydney,Australia,6:54 AM,Bole International,Addis Ababa,6.39
EK5965,Emirates,Dubai International,Dubai,UAE,10:24 PM,Hamad International,Doha,1.31
LH4515,Lufthansa,Frankfurt Airport,Frankfurt,Germany,10:04 AM,Charles de Gaulle,Paris,20.85
QR1576,Qatar Airways,Hamad International,Doha,Qatar,11:29 AM,Bole International,Addis Ababa,11.98
WN5669,Southwest Airlines,Los Angeles International,Los Angeles,USA,2:11 PM,San Francisco International,San Francisco,23.2
IB4981,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,10:14 PM,Ministro Pistarini International,Buenos Aires,19.98
AF8531,Air France,Charles de Gaulle,Paris,France,11:50 PM,Frankfurt Airport,Frankfurt,3.05
LH6904,Lufthansa,Frankfurt Airport,Frankfurt,Germany,5:51 PM,Charles de Gaulle,Paris,20.21
NH9718,All Nippon Airways,Haneda,Tokyo,Japan,11:34 AM,Incheon International,Seoul,15.64
QR7324,Qatar Airways,Hamad International,Doha,Qatar,2:29 PM,Miami International,Miami,3.46
TG9254,Thai Airways,Suvarnabhumi,Bangkok,Thailand,11:22 PM,Beijing Capital International,Beijing,4.83
SK9581,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,12:11 PM,Charles de Gaulle,Paris,6.44
AZ1725,Alitalia,Leonardo da Vinci International,Rome,Italy,1:04 AM,Charles de Gaulle,Paris,2.26
AM8252,Aeroméxico,Benito Juárez International,Mexico City,Mexico,7:53 PM,O'Hare International,Chicago,14.59
SK1448,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,10:44 AM,Melbourne Airport,Melbourne,17.01
QR1765,Qatar Airways,Hamad International,Doha,Qatar,4:17 PM,Adolfo Suárez Madrid–Barajas,Madrid,1.06
BA2476,British Airways,Heathrow,London,UK,6:38 PM,Adolfo Suárez Madrid–Barajas,Madrid,21.65
AM6212,Aeroméxico,Benito Juárez International,Mexico City,Mexico,4:57 PM,O'Hare International,Chicago,8.98
SA2638,South African Airways,O.R. Tambo International,Johannesburg,South Africa,1:02 AM,Charles de Gaulle,Paris,1.6
AM6967,Aeroméxico,Benito Juárez International,Mexico City,Mexico,10:22 AM,Dallas/Fort Worth International,Dallas,9.22
